"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79","courierAuthWithoutLogin","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","7793","checkThatOrdersListIsReturned","","","passed","","","GetOrderListTest","GetOrderListTest",""
"","112","createOrderWithDifferentColors(String, String[])[3]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","379","cannotCreateDuplicateCourier","","","failed","","","CreateCourierTest","CreateCourierTest",""
"","75","createCourierWithoutLoginReturnsError","","","passed","","","CreateCourierTest","CreateCourierTest",""
"","1920","createCourierWithAllRequiredFieldsSuccess","","","passed","","","CreateCourierTest","CreateCourierTest",""
"","84","createCourierWithoutPasswordReturnsError","","","passed","","","CreateCourierTest","CreateCourierTest",""
"","171","courierAuthWithIncorrectLog","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","7224","checkOrderFromId","","","passed","","","GetOrderListTest","GetOrderListTest",""
"","168","createOrderWithDifferentColors(String, String[])[2]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","114","courierCanBeAuth","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","73","checkOrderWithoutId","","","passed","","","GetOrderListTest","GetOrderListTest",""
"","60137","courierAuthWithoutPass","","","failed","","","LoginCourierTest","LoginCourierTest",""
"","182","checkOrderNonexistence","","","passed","","","GetOrderListTest","GetOrderListTest",""
"","124","createOrderWithDifferentColors(String, String[])[4]","","","passed","","","CreateOrderTest","CreateOrderTest",""
"","201","courierAuthWithIncorrectPass","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","84","courierAuthNonexistence","","","passed","","","LoginCourierTest","LoginCourierTest",""
"","103","courierCanBeCreated","","","passed","","","CreateCourierTest","CreateCourierTest",""
"","288","createOrderWithDifferentColors(String, String[])[1]","","","passed","","","CreateOrderTest","CreateOrderTest",""
